Counter, Supernova name, aka., Time period, TNS report, Notes / Links


19,AT 2016ftf,PS16ebr,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016ftf
18,AT 2016ftk,PS16ebl,31 Aug 2016 - 06 Sept 2016,N,
17,AT 2016ftp,PS16ebn,31 Aug 2016 - 06 Sept 2016,N,
16,AT 2016ftg,PS16ebq,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016ftg
15,AT 2016fth,PS16ebs,31 Aug 2016 - 06 Sept 2016,N,
14,AT 2016ftl,PS16ebm,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016ftl
13,AT 2016fon,PS16eaw,31 Aug 2016 - 06 Sept 2016,N,
12,AT 2016fto,PS16ebj,31 Aug 2016 - 06 Sept 2016,N,
11,AT 2016fni,PS16eao,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016fni
10,AT 2016fnh,PS16eap,31 Aug 2016 - 06 Sept 2016,N,
9,AT 2016ftq,PS16ebo,31 Aug 2016 - 06 Sept 2016,N,
8,AT 2016ftr,PS16ebp,31 Aug 2016 - 06 Sept 2016,N,
7,AT 2016ftn,PS16ebi,31 Aug 2016 - 06 Sept 2016,N,
6,AT 2016ftj,PS16ebk,31 Aug 2016 - 06 Sept 2016,N,
5,AT 2016fnd,PS16eal,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016fnd
4,AT 2016fti,PS16ebt,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016fti
3,AT 2016fnf,PS16ean,31 Aug 2016 - 06 Sept 2016,N,
2,AT 2016fng,PS16eam,31 Aug 2016 - 06 Sept 2016,Y,https://wis-tns.weizmann.ac.il/object/2016fng
1,AT 2016ftm,PS16ebh,31 Aug 2016 - 06 Sept 2016,N,
